 Event ID : 1299
-240.504 70.8781 270.4 44 21
7.36235 -100.565 272 45 21.4
-166.88 11.369 273.6 46 21.9
-7.62939e-06 -87.813 278.4 49 23.4
-98.1647 -19.8025 284.8 53 20.45
120.252 -7.05056 286.4 54 24.95
-9.81648 -19.8025 297.6 61 22.2
-9.81648 -232.403 297.6 61 20.55
-171.788 19.8703 299.2 62 23.5
-215.962 22.8395 300.8 63 22.75
2.4541 52.4586 304 65 19.1
-78.5318 -5.70141 313.6 71 23.15
-14.7247 -206.899 313.6 71 24.4
39.2659 96.3143 313.6 71 21.05
-127.614 130.387 316.8 73 19.25
147.247 11.3012 316.8 73 24.35
-73.6235 121.818 316.8 73 24.15
-95.7106 86.4639 318.4 74 23.75
-100.619 -9.95207 323.2 77 21.6
-29.4494 -141.858 328 80 22.15
73.6235 22.704 328 80 22.2
-2.45413 35.456 331.2 82 26.35
-83.44 -28.3038 332.8 83 26.4
49.0824 82.2132 334.4 84 24.05
68.7153 99.2159 337.6 86 22.8
-78.5318 -31.2053 339.2 87 22.6
171.788 19.8703 339.2 87 18.9
-24.5412 -19.8025 342.4 89 29.45
-2.45412 100.565 342.4 89 26.3
147.247 90.85 345.6 91 23.75
-7.36236 -26.9547 350.4 94 23.95
-36.8118 -15.5519 372.8 108 26.25
17.1788 -41.0558 379.2 112 26.1
31.9035 -69.4613 433.6 146 30.15
-152.155 -138.889 468.8 168 31.1
-171.788 2.86764 470.4 169 34.85
-152.155 -121.886 470.4 169 33.6
-132.522 -116.354 472 170 30.8
9.81648 -19.8025 478.4 174 32.7
-171.788 -184.364 480 175 36.25
-171.788 -116.354 488 180 36.15
17.1788 -60.9599 489.6 181 30.8
-201.238 -150.359 491.2 182 37.95
-112.889 -56.7093 492.8 183 39.15
-186.513 28.3716 499.2 187 32.8
-245.412 -62.3768 500.8 188 32
-137.431 -96.3821 508.8 193 34.35
230.687 -121.886 515.2 197 33.75
137.431 -96.3821 516.8 198 32.75
-147.247 28.3716 518.4 199 33.35
171.788 2.86764 532.8 208 31.25
196.329 -5.83687 536 210 32.55
147.247 130.387 537.6 211 35.25
206.146 141.858 552 220 30.15
78.5318 -82.2132 556.8 223 31
186.513 -164.393 560 225 33.9
44.1741 36.8052 561.6 226 34.2
98.1647 70.8104 566.4 229 37.6
58.8988 73.7119 569.6 231 31.45
93.2565 -53.8078 572.8 233 36.3
88.3483 -14.2027 572.8 233 32.4
68.7153 53.8078 574.4 234 36.75
-53.9906 45.3065 577.6 236 36.65
46.6282 52.4586 579.2 237 35.3
196.329 -22.8395 580.8 238 34.05
76.0776 -15.5519 580.8 238 31.5
250.32 -2.86764 582.4 239 32.1
49.0824 -14.2027 582.4 239 33.7
95.7106 86.4639 587.2 242 30.1
-14.7247 -116.218 592 245 35.1
191.421 -99.3513 600 250 32.6
-12.2706 -120.469 606.4 254 34.4
-88.3482 11.3012 608 255 35.2
-7.36236 -100.565 608 255 34.9
-14.7247 -79.3117 612.8 258 37.85
71.1694 -69.4613 614.4 259 36.6
-103.073 28.3038 614.4 259 33.95
-12.2706 -1.45075 617.6 261 37.4
132.522 -116.354 619.2 262 32.8
-51.5365 9.95207 622.4 264 33.4
-49.0824 28.3038 624 265 38.7
98.1647 -19.8025 625.6 266 34.45
-90.8024 41.0558 630.4 269 36.6
-71.1694 32.5545 638.4 274 35.25
-9999 -9999 708.8 318 2040.6
-9999 -9999 715.2 322 981.05
-147.247 90.85 732.8 333 37.75
122.706 -189.897 734.4 334 35.9
-49.0824 164.393 742.4 339 36.2
-29.4494 181.395 745.6 341 35.5
29.4494 -141.858 753.6 346 35
53.9906 -133.221 755.2 347 37.1
103.073 172.894 758.4 349 35.7
-9999 -9999 760 350 1778.15
68.7153 -147.39 761.6 351 40.25
44.1741 -155.891 764.8 353 36.95
-3.8147e-06 -243.874 766.4 354 38.35
24.5412 -201.367 766.4 354 37.35
73.6235 -130.32 772.8 358 38.45
-211.054 133.357 777.6 361 38.2
-49.0824 158.861 779.2 362 38
-142.339 82.3487 788.8 368 37.4
-78.5318 215.4 792 370 38.9
-186.513 96.3821 793.6 371 38.05
53.9906 138.889 795.2 372 32.9
137.431 209.868 796.8 373 38.05
-41.72 117.568 798.4 374 35.5
-24.5412 240.904 798.4 374 38.55
-61.3529 83.5624 800 375 35.75
-34.3576 167.362 801.6 376 39.05
-22.0871 120.469 803.2 377 44.65
49.0823 164.393 803.2 377 36.7
-58.8988 73.7119 803.2 377 37
-39.2659 53.8078 819.2 387 41.6
-56.4447 58.0584 824 390 35.95
206.146 -62.3768 897.6 436 24.1
-17.1788 86.4639 923.2 452 23.15
-44.1741 104.816 931.2 457 21.85
-39.2659 -39.7067 944 465 33.8
161.972 -65.3461 955.2 472 24.75
-58.8988 -87.813 961.6 476 21.85
-112.889 -206.899 961.6 476 27.25
-26.9953 -134.57 968 480 22.9
-63.8071 -39.7067 969.6 481 33.6
93.2565 31.2053 969.6 481 22.8
-19.6329 -22.704 969.6 481 39.5
-152.155 189.897 969.6 481 26.6
51.5365 9.95207 969.6 481 29.05
24.5412 -87.813 971.2 482 20.45
125.16 24.0532 972.8 483 26.4
98.1647 19.8025 974.4 484 30.15
-53.9906 -5.70141 977.6 486 22.35
46.6282 -60.9599 977.6 486 20.95
68.7153 -62.3091 977.6 486 24
-100.619 -94.9652 979.2 487 32.5
122.706 45.3065 980.8 488 21.6
76.0776 15.5519 980.8 488 31.1
-61.3529 103.467 982.4 489 24.45
17.1788 100.565 982.4 489 20.1
117.798 53.8078 982.4 489 23.65
-49.0824 82.2132 984 490 22.55
-9999 -9999 985.6 491 15.75
-9999 -9999 987.2 492 14.45
-71.1694 -109.066 988.8 493 19.55
46.6282 -24.0532 990.4 494 22.35
39.2659 -39.7067 992 495 21.2
49.0824 28.3038 992 495 19.3
83.44 -28.3038 992 495 22.9
58.8988 -79.3117 993.6 496 25.1
4.90822 -39.7067 993.6 496 21.1
-9999 -9999 993.6 496 17.15
-9999 -9999 993.6 496 16.15
7.36234 77.9626 995.2 497 19.55
12.2706 100.565 996.8 498 22.5
110.435 -49.5571 996.8 498 23.25
-53.9906 -133.221 996.8 498 243.85
-9999 -9999 996.8 498 14.65
53.9906 73.7119 998.4 499 25.6
-56.4447 -128.97 998.4 499 285.05
220.871 70.8781 998.4 499 27.1
191.421 104.883 998.4 499 20.8
-68.7153 -121.818 998.4 499 270.05
-95.7106 94.9652 998.4 499 23.8
-2.45413 52.4586 998.4 499 23.8
