Pad,CoBo,Asad,Aget,Ch
0,8,2,0,65
1,8,2,0,48
2,8,2,0,33
3,8,2,0,18
4,8,2,0,3
5,8,2,1,54
6,8,2,1,37
7,8,2,1,23
8,8,2,1,12
9,8,2,1,9
10,8,2,1,8
11,8,2,2,66
12,8,2,2,49
13,8,2,2,34
14,8,2,2,17
15,8,2,2,2
16,8,2,3,53
17,8,2,3,38
18,8,2,3,21
19,8,2,3,6
20,8,2,3,0
21,8,3,3,48
22,8,3,3,4
23,8,3,3,15
24,8,2,3,19
25,8,2,3,15
26,8,3,3,16
27,8,2,3,10
28,8,3,3,12
29,8,3,3,7
30,8,2,3,4
31,8,3,3,18
32,8,2,3,2
33,8,3,3,52
34,8,3,3,14
35,8,3,3,32
36,8,3,3,9
37,8,2,3,55
38,8,3,3,42
39,8,3,2,52
40,8,3,3,47
41,8,3,3,60
42,8,3,2,26
43,8,3,3,64
44,8,3,2,54
45,8,3,2,34
46,8,3,2,6
47,8,3,2,57
48,8,3,2,10
49,8,3,2,15
50,8,3,2,59
51,8,3,3,28
52,8,3,2,40
53,8,3,3,3
54,8,3,3,43
55,8,3,3,65
56,8,3,3,39
57,8,3,3,33
58,8,3,2,3
59,8,3,3,29
60,8,3,2,7
61,8,3,2,12
62,8,3,3,25
63,8,3,2,16
64,8,3,3,20
65,4,1,1,49
66,4,1,1,53
67,4,1,1,34
68,4,1,1,38
69,4,1,1,24
70,4,1,1,19
71,8,3,2,61
72,4,1,1,15
73,4,1,1,17
74,2,0,0,18
75,4,1,1,57
76,2,0,0,5
77,2,0,1,50
78,4,1,1,46
79,2,0,1,46
80,4,1,1,35
81,2,0,0,14
82,2,0,1,43
83,2,0,1,59
84,2,0,1,20
85,2,0,1,66
86,2,0,1,54
87,2,0,1,60
88,2,0,0,34
89,2,0,0,21
90,2,0,1,42
91,2,0,0,15
92,2,0,1,21
93,2,0,0,38
94,2,0,0,6
95,2,0,3,27
96,2,0,0,55
97,2,0,0,51
98,2,0,3,20
99,2,0,0,49
100,2,0,3,14
101,2,0,3,9
102,2,0,0,47
103,2,0,3,3
104,2,0,0,44
105,2,0,0,42
106,2,0,3,1
107,2,0,3,65
108,2,0,2,61
109,2,0,2,16
110,2,0,0,40
111,2,0,2,3
112,2,0,2,59
113,2,0,2,9
114,2,0,2,53
115,2,0,2,58
116,2,0,2,13
117,2,0,2,8
118,2,0,2,42
119,2,0,2,4
120,2,0,2,38
121,2,0,2,36
122,2,0,2,15
123,2,0,2,34
124,2,0,2,28
125,2,0,3,55
126,2,0,3,43
127,2,0,3,47
128,2,0,3,48
129,2,0,3,57
130,2,0,3,30
131,2,0,3,62
132,2,0,3,26
133,2,1,3,48
134,2,0,3,53
135,2,1,3,50
136,2,0,3,40
137,2,0,3,38
138,2,1,3,39
139,2,0,3,15
140,2,1,3,33
141,2,1,3,5
142,2,0,3,24
143,2,1,3,13
144,2,1,3,1
145,2,1,3,10
146,2,1,3,26
147,2,1,3,21
148,0,0,3,34
149,0,1,3,25
150,0,0,3,26
151,0,1,3,33
152,0,2,3,20
153,0,2,3,9
154,0,2,3,25
155,0,2,3,2
156,0,2,3,12
157,0,2,3,6
158,0,3,3,23
159,0,2,3,34
160,0,3,3,14
161,0,3,3,37
162,0,2,3,40
163,0,3,3,39
164,0,2,3,51
165,0,2,3,49
166,0,3,3,52
167,0,3,3,25
168,0,3,3,61
169,0,3,3,58
170,0,3,3,29
171,0,3,3,49
172,0,3,3,46
173,0,3,3,54
174,0,3,3,44
175,0,3,2,27
176,0,3,2,33
177,0,3,2,35
178,0,3,2,14
179,0,3,2,37
180,0,3,2,3
181,0,3,2,7
182,0,3,2,41
183,0,3,2,12
184,0,3,2,57
185,0,3,2,10
186,0,3,2,52
187,0,3,2,60
188,0,3,2,4
189,0,3,2,17
190,0,3,0,39
191,0,3,2,62
192,0,3,3,66
193,0,3,0,41
194,0,3,3,2
195,0,3,0,43
196,0,3,3,4
197,0,3,3,10
198,0,3,0,46
199,0,3,3,15
200,0,3,0,48
201,0,3,0,50
202,0,3,3,21
203,0,3,0,54
204,0,3,3,28
205,0,3,0,37
206,0,3,0,5
207,0,3,1,20
208,0,3,0,14
209,0,3,0,20
210,0,3,1,41
211,0,3,0,33
212,0,3,1,59
213,0,3,1,65
214,0,3,1,55
215,0,3,1,21
216,0,3,1,60
217,0,3,0,15
218,0,3,1,44
219,3,0,1,36
220,0,3,1,47
221,0,3,1,51
222,3,0,1,47
223,0,3,0,6
224,3,0,1,58
225,3,0,1,16
226,0,3,0,19
227,3,0,1,14
228,6,0,2,62
229,3,0,1,23
230,3,0,1,18
231,3,0,1,37
232,3,0,1,33
233,3,0,1,48
234,3,0,1,52
235,6,0,3,21
236,6,0,2,17
237,6,0,2,13
238,6,0,3,26
239,6,0,2,8
240,6,0,3,30
241,6,0,3,34
242,6,0,2,4
243,6,0,3,40
244,6,0,3,66
245,6,0,3,4
246,6,0,3,44
247,6,0,2,39
248,6,0,3,27
249,6,0,2,14
250,6,0,2,60
251,6,0,2,9
252,6,0,2,58
253,6,0,2,33
254,6,0,2,5
255,6,0,2,55
256,6,0,3,63
257,6,0,3,59
258,6,0,2,25
259,6,0,3,46
260,6,0,2,53
261,6,1,3,54
262,6,0,3,41
263,6,0,3,10
264,6,0,3,31
265,6,0,3,53
266,6,0,3,15
267,6,1,3,1
268,6,0,3,19
269,6,0,3,8
270,6,1,3,3
271,6,0,3,13
272,6,1,3,9
273,6,1,3,14
274,6,0,3,17
275,6,1,3,18
276,6,0,3,14
277,6,0,3,3
278,6,0,3,49
279,6,1,3,0
280,6,1,3,5
281,6,1,3,20
282,6,1,3,37
283,6,1,3,52
284,6,1,2,1
285,6,1,2,16
286,6,1,2,33
287,6,1,2,48
288,6,1,2,65
289,6,1,1,7
290,6,1,1,9
291,6,1,1,13
292,6,1,1,24
293,6,1,1,38
294,6,1,1,55
295,6,1,0,4
296,6,1,0,19
297,6,1,0,34
298,6,1,0,49
299,6,1,0,66
300,8,2,0,66
301,8,2,0,51
302,8,2,0,34
303,8,2,0,19
304,8,2,0,2
305,8,2,1,55
306,8,3,1,39
307,8,3,1,23
308,8,3,1,14
309,8,3,1,12
310,8,3,1,9
311,8,3,2,65
312,8,3,2,50
313,8,3,2,35
314,8,3,2,18
315,8,3,2,1
316,8,3,3,54
317,8,3,3,37
318,8,3,3,23
319,8,3,3,5
320,8,3,3,1
321,8,3,2,0
322,8,3,3,36
323,8,3,2,30
324,8,3,1,1
325,8,3,2,44
326,8,3,2,67
327,8,3,3,51
328,8,3,2,49
329,8,3,3,49
330,8,3,3,53
331,8,3,2,20
332,8,3,3,62
333,8,3,3,24
334,8,3,3,21
335,8,3,3,66
336,8,3,3,17
337,8,3,2,2
338,8,3,2,8
339,8,3,3,13
340,8,3,2,13
341,8,3,3,6
342,8,3,3,2
343,2,0,0,63
344,8,3,3,30
345,2,0,0,57
346,2,0,0,54
347,8,3,3,34
348,2,0,0,50
349,8,3,3,38
