TB,Pad8593,Pad8595,Pad7934,Pad6689,Pad9164
0,2.13746,0.885817,2.1883,1.30074,4.74238
1,3.23652,2.31292,2.79705,2.67175,5.43797
2,0.581332,0.800819,-0.152176,0.421885,0.149302
3,-1.72024,-0.907966,-1.93882,-0.81545,-2.6307
4,-1.86551,-1.42092,-1.62227,-0.275061,-1.66655
5,-0.315296,-0.621992,-0.562746,0.46201,0.21305
6,0.914892,0.260706,0.152535,-0.293229,-0.0822681
7,0.484507,0.456239,0.263235,-1.45623,-1.52227
8,-0.732617,-0.11399,-0.126961,-1.43722,-2.04705
9,-1.1975,-0.559727,-0.382631,-0.439318,-0.4694
10,-0.75936,-0.196448,-0.16381,0.658696,1.48497
11,-0.113796,0.203936,0.476503,1.20384,1.47415
12,-0.419739,-0.0572772,0.834694,0.8494,-0.63443
13,-1.10779,-0.54347,0.0376998,0.00440753,-2.44307
14,-0.866584,-0.42629,-1.03344,-0.649277,-1.55763
15,0.575309,0.335443,-0.998701,-0.356643,0.901547
16,1.57046,0.768663,-0.360097,0.174959,1.80906
17,0.985134,0.145987,0.101912,-0.0778313,0.108678
18,-0.432992,-0.626614,0.252528,-0.835982,-1.7813
19,-0.954186,-0.695834,0.237204,-1.11145,-1.48644
20,-0.0885259,-0.322674,0.39059,-0.375087,0.10824
21,0.417129,-0.408568,0.36448,0.337968,0.961054
22,-0.236828,-0.772729,-0.092998,-0.225609,0.273313
23,-0.617944,-0.0839909,-0.369418,-0.927437,-0.611566
24,-0.058224,1.3865,-0.20594,-0.622262,-0.395071
25,0.310108,1.70154,-0.306803,0.00589493,0.0847381
26,-0.274297,0.39091,-0.606922,-0.22374,-0.333607
27,-1.1929,-0.742033,-0.49709,-0.879066,-1.22568
28,-1.49618,-0.433749,-0.20597,-0.534487,-1.13814
29,-0.744394,0.234913,0.0951879,0.149787,-0.177597
30,0.457212,0.18296,0.361734,0.34284,0.879487
31,1.11736,0.0106136,0.58005,0.424614,1.07529
32,0.983776,0.354822,0.308051,0.20557,-0.0588705
33,0.300348,0.534547,-0.320748,-0.677656,-1.30788
34,0.00574715,0.492648,-0.302273,-1.45857,-1.49426
35,0.342381,0.152029,0.334701,-1.30464,-0.892199
36,0.666124,-0.952873,0.493176,-0.344983,-0.250016
37,0.149429,-1.68263,-0.182911,0.411356,-0.270696
38,-0.572778,-1.02569,-0.799225,-0.0466795,-0.78583
39,-0.378366,0.55304,-0.643937,-0.823979,-0.340346
40,0.157447,1.37521,-0.0654272,-1.02142,0.156312
41,0.406201,0.734516,0.163667,-0.502842,-0.582058
42,0.0229435,-0.200825,0.0400976,0.140327,-1.40188
43,-0.338525,-0.564338,0.0129463,0.155439,-0.888352
44,-0.178779,-0.457676,-0.0452582,-0.147989,0.232931
45,-0.014629,-0.01042,-0.360024,-0.487832,0.144486
46,0.273537,0.63276,-0.809804,-0.459314,-1.06335
47,0.929446,0.911755,-1.19344,-0.131046,-1.71994
48,1.33114,0.589254,-0.869228,0.0678362,-0.888817
49,0.923625,-0.0818212,0.184979,-0.202771,0.0525839
50,-0.224874,-0.27498,0.815457,-0.809181,0.148689
51,-1.34538,0.0250498,0.36338,-1.06313,-0.181992
52,-1.40262,0.385927,-0.624659,-0.522179,-0.427948
53,-0.50857,0.645364,-1.47277,0.12896,-0.479111
54,0.54917,0.844758,-1.25419,-0.400789,-0.347463
55,0.998457,1.17481,-0.026205,-1.48278,-0.196687
56,0.262928,1.27398,1.10932,-1.13563,-0.636813
57,-0.5964,1.00101,1.28262,-0.0351817,-1.51587
58,-0.332436,0.458727,0.521081,-0.183938,-1.33069
59,0.308902,0.284611,-0.00236274,-0.743838,0.134875
60,0.46935,0.92913,0.00659371,-0.377961,1.51799
61,0.372828,1.6282,-0.224989,0.3446,1.2625
62,0.415986,1.57063,-0.662463,0.233693,-0.10194
63,0.583903,1.25596,-0.566297,-0.75612,-0.508271
64,0.505811,1.06684,-0.262318,-1.41743,-0.000636365
65,0.270172,1.19001,-0.320539,-1.0654,0.057362
66,0.347156,1.3451,-0.671326,-0.349125,-0.16941
67,0.659944,0.783514,-0.658263,0.28499,0.0564766
68,0.568413,-0.35584,-0.220428,0.485686,0.404661
69,0.224347,-1.15835,-0.1082,0.120152,0.245184
70,0.187144,-0.603207,-0.336997,-0.456473,-0.0961803
71,0.381334,0.246532,-0.449176,-0.838713,-0.0360641
72,0.532108,0.770747,-0.348147,-0.516795,0.196592
73,0.873134,1.29405,-0.0379824,-0.237482,-0.125113
74,1.07278,1.17981,0.324043,-0.375317,-0.588393
75,0.632583,0.538616,0.310693,-0.255351,-0.510857
76,-0.0585167,0.14774,0.319042,0.343794,0.455227
77,-0.383673,0.152447,0.390538,0.9563,1.46197
78,0.200966,0.277932,0.0981125,0.546078,1.09477
79,1.06236,0.165914,-0.276275,-0.86433,-0.00626627
80,1.53414,0.167805,-0.509433,-1.66248,-0.402943
81,1.20294,0.661271,-0.747322,-0.988189,-0.512264
82,0.578301,1.43273,-0.777648,-0.122434,-0.664812
83,0.65854,1.57542,-0.728657,-0.0376591,-0.840754
84,0.944622,0.770268,-0.587124,-0.118391,-0.782192
85,0.597961,-0.0145822,-0.0250679,0.0295663,-0.094054
86,-0.220454,-0.304599,0.376786,0.149812,0.546372
87,-0.617043,-0.409544,0.000669117,-0.391577,0.848261
88,-0.331675,-0.428403,-0.28333,-1.40443,1.0518
89,0.367231,-0.40485,-0.21175,-1.67864,0.790859
90,0.869172,0.322831,-0.254443,-0.882712,-0.264403
91,0.940666,1.42211,-0.349143,-0.0812827,-0.925673
92,0.951969,1.59487,-0.250967,-0.0817419,-0.196892
93,0.934879,1.06232,-0.230724,-0.682856,0.930503
94,1.07345,0.911798,-0.503626,-0.998756,1.27805
95,0.983015,1.01524,-0.955945,-0.365183,0.914802
96,0.46302,0.769538,-1.07243,0.645552,0.87386
97,0.0263081,0.110984,-0.410339,0.997292,1.05809
98,0.255716,-0.416388,0.242561,0.473465,1.00351
99,0.731147,-0.292432,-0.0559686,-0.490215,0.908067
100,0.883851,0.0357672,-0.873516,-1.05327,0.359973
101,0.631964,0.258542,-1.1109,-0.849806,-0.0887572
102,0.464863,0.807718,-0.72974,-0.626857,0.59039
103,1.17021,1.57271,-0.434195,-1.0989,1.44112
104,2.1888,1.94866,-0.495946,-1.60926,1.30518
105,2.29122,1.61984,-0.290879,-0.937086,0.583122
106,0.933231,1.1865,-0.0672989,0.39378,0.136485
107,-0.563903,1.2196,-0.45025,0.765428,0.223902
108,-0.738715,1.22755,-1.12278,-0.259388,0.870976
109,0.240662,0.668851,-1.12153,-1.12657,1.54924
110,0.919516,0.579609,-0.533228,-1.03989,1.3891
111,0.578395,1.30826,-0.475712,-0.515947,0.76836
112,0.263962,1.25858,-0.971784,-0.143037,0.50766
113,0.379848,0.208729,-1.06818,-0.673347,0.877363
114,0.666461,-0.233459,-0.459982,-0.858685,1.49767
115,0.778996,0.429446,-0.148633,0.199355,1.92972
116,0.58302,1.37777,-0.458038,1.09655,1.96119
117,0.295375,1.89129,-0.753051,0.595273,1.69994
118,0.254823,1.94487,-0.783345,-0.539313,1.40997
119,1.02175,1.34692,-0.772134,-1.11786,1.19366
120,1.92129,0.72263,-1.0473,-0.752341,1.08259
